surgery,Age,rectal_temperature,pulse,respiratory_rate,temp_extremities,peripheral_pulse,mucous_membranes,capillary_refill_time,pain,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_PH,rectal_examination,abdomen,packed_cell_volume,total_protein,abdominocentesis_appearance,abdomcentesis_total_protein,outcome,surgical_lesion
b'no',b'adult',38.5,66,28,b'cool',b'reduced',b'?',b'>=3',b'continuous severe pain',b'absent',b'severe',b'?',b'?',,b'decreased',b'distended large intestine',45,8.4,b'?',,b'died',b'no'
b'yes',b'adult',39.2,88,20,b'?',b'?',b'pale cyanotic',b'<3',b'intermittent mild pain',b'absent',b'slight',b'?',b'?',,b'absent',b'other',50,85,b'cloudy',2,b'euthanized',b'no'
b'no',b'adult',38.3,40,24,b'normal',b'normal',b'pale pink',b'<3',b'intermittent mild pain',b'hypomotile',b'none',b'?',b'?',,b'normal',b'normal',33,6.7,b'?',,b'lived',b'no'
b'yes',b'young',39.1,164,84,b'cold',b'normal',b'dark cyanotic',b'>=3',b'depressed',b'absent',b'severe',b'none',b'>1l',5,b'decreased',b'?',48,7.2,b'serosanguinous',5.3,b'died',b'yes'
b'no',b'adult',37.3,104,35,b'?',b'?',b'dark cyanotic',b'>=3',b'?',b'?',b'?',b'?',b'?',,b'?',b'?',74,7.4,b'?',,b'died',b'no'
b'no',b'adult',,,,b'warm',b'normal',b'pale pink',b'<3',b'depressed',b'hypomotile',b'slight',b'slight',b'none',,b'decreased',b'firm feces in large intestine',,,b'?',,b'lived',b'no'
b'yes',b'adult',37.9,48,16,b'normal',b'normal',b'normal pink',b'<3',b'intermittent mild pain',b'hypomotile',b'moderate',b'none',b'none',,b'decreased',b'distended large intestine',37,7,b'?',,b'lived',b'yes'
b'yes',b'adult',,60,,b'cool',b'?',b'?',b'<3',b'?',b'absent',b'slight',b'slight',b'none',,b'decreased',b'distended small intestine',44,8.3,b'?',,b'died',b'yes'
b'no',b'adult',,80,36,b'cool',b'absent',b'pale pink',b'<3',b'intermittent severe pain',b'absent',b'severe',b'slight',b'none',,b'decreased',b'distended large intestine',38,6.2,b'?',,b'euthanized',b'yes'
b'no',b'young',38.3,90,,b'normal',b'?',b'normal pink',b'<3',b'continuous severe pain',b'hypomotile',b'none',b'slight',b'none',,b'decreased',b'?',40,6.2,b'clear',2.2,b'lived',b'no'
b'yes',b'adult',38.1,66,12,b'cool',b'reduced',b'bright red',b'<3',b'intermittent mild pain',b'hypomotile',b'none',b'slight',b'none',3,b'increased',b'distended large intestine',44,6,b'cloudy',3.6,b'lived',b'yes'
b'no',b'adult',39.1,72,52,b'warm',b'?',b'bright pink',b'<3',b'depressed',b'hypermotile',b'slight',b'none',b'none',,b'absent',b'distended small intestine',50,7.8,b'?',,b'lived',b'yes'
b'yes',b'adult',37.2,42,12,b'warm',b'normal',b'normal pink',b'<3',b'intermittent mild pain',b'hypomotile',b'moderate',b'significant',b'none',,b'absent',b'distended large intestine',,7,b'?',,b'lived',b'no'
b'no',b'young',38,92,28,b'normal',b'normal',b'bright pink',b'<3',b'alert no pain',b'hypomotile',b'slight',b'significant',b'?',7.2,b'normal',b'normal',37,6.1,b'clear',,b'died',b'no'
b'yes',b'adult',38.2,76,28,b'cool',b'normal',b'normal pink',b'<3',b'intermittent mild pain',b'absent',b'none',b'slight',b'>1l',,b'absent',b'distended small intestine',46,81,b'clear',2,b'lived',b'yes'
b'yes',b'adult',37.6,96,48,b'cool',b'normal',b'pale cyanotic',b'<3',b'continuous severe pain',b'hypomotile',b'moderate',b'slight',b'<1l',4.5,b'absent',b'?',45,6.8,b'?',,b'died',b'yes'
b'yes',b'young',,128,36,b'cool',b'reduced',b'pale cyanotic',b'>=3',b'intermittent severe pain',b'absent',b'moderate',b'significant',b'?',,b'absent',b'distended large intestine',53,7.8,b'serosanguinous',4.7,b'died',b'no'
b'no',b'adult',37.5,48,24,b'?',b'?',b'?',b'?',b'?',b'?',b'?',b'?',b'?',,b'?',b'?',,,b'?',,b'lived',b'no'
b'yes',b'adult',37.6,64,21,b'normal',b'normal',b'bright pink',b'<3',b'depressed',b'hypomotile',b'none',b'none',b'none',,b'increased',b'distended large intestine',40,7,b'clear',,b'lived',b'yes'
b'no',b'adult',39.4,110,35,b'cold',b'reduced',b'dark cyanotic',b'?',b'?',b'hypomotile',b'moderate',b'?',b'?',,b'?',b'?',55,8.7,b'?',,b'lived',b'no'
b'yes',b'adult',39.9,72,60,b'normal',b'normal',b'bright red',b'>=3',b'continuous severe pain',b'absent',b'severe',b'significant',b'none',,b'absent',b'distended small intestine',46,6.1,b'cloudy',,b'lived',b'yes'
b'no',b'adult',38.4,48,16,b'normal',b'?',b'normal pink',b'<3',b'alert no pain',b'hypomotile',b'none',b'slight',b'<1l',5.5,b'absent',b'firm feces in large intestine',49,6.8,b'?',,b'lived',b'no'
b'yes',b'adult',38.6,42,34,b'warm',b'normal',b'pale cyanotic',b'?',b'depressed',b'hypomotile',b'none',b'?',b'?',,b'normal',b'?',48,7.2,b'?',,b'lived',b'yes'
b'yes',b'young',38.3,130,60,b'?',b'reduced',b'?',b'<3',b'depressed',b'absent',b'?',b'?',b'?',,b'?',b'?',50,70,b'?',,b'lived',b'yes'
b'yes',b'adult',38.1,60,12,b'cool',b'reduced',b'pale pink',b'<3',b'?',b'absent',b'moderate',b'significant',b'>1l',2,b'?',b'?',51,65,b'?',,b'lived',b'yes'
b'no',b'adult',37.8,60,42,b'?',b'?',b'?',b'<3',b'?',b'?',b'?',b'?',b'?',,b'?',b'?',,,b'?',,b'lived',b'no'
b'yes',b'adult',38.3,72,30,b'cold',b'reduced',b'pale pink',b'>=3',b'intermittent mild pain',b'hypomotile',b'moderate',b'slight',b'none',,b'decreased',b'distended large intestine',43,7,b'cloudy',3.9,b'lived',b'yes'
b'yes',b'adult',37.8,48,12,b'cool',b'normal',b'normal pink',b'<3',b'?',b'hypomotile',b'slight',b'none',b'none',,b'normal',b'firm feces in large intestine',37,5.5,b'cloudy',1.3,b'lived',b'no'
b'yes',b'adult',,,,b'?',b'?',b'?',b'?',b'?',b'?',b'?',b'?',b'?',,b'?',b'?',,,b'?',,b'died',b'no'
b'no',b'adult',37.7,48,,b'warm',b'normal',b'normal pink',b'<3',b'alert no pain',b'hypermotile',b'none',b'none',b'none',,b'?',b'?',45,76,b'?',,b'lived',b'no'
b'no',b'adult',37.7,96,30,b'cool',b'reduced',b'pale cyanotic',b'>=3',b'continuous severe pain',b'absent',b'severe',b'significant',b'>1l',4,b'absent',b'distended large intestine',66,7.5,b'?',,b'died',b'yes'
b'no',b'adult',37.2,108,12,b'cool',b'reduced',b'pale cyanotic',b'>=3',b'depressed',b'absent',b'slight',b'?',b'<1l',6,b'decreased',b'firm feces in large intestine',52,8.2,b'serosanguinous',7.4,b'euthanized',b'yes'
b'yes',b'adult',37.2,60,,b'warm',b'normal',b'normal pink',b'<3',b'intermittent mild pain',b'hypomotile',b'moderate',b'slight',b'none',,b'absent',b'distended large intestine',43,6.6,b'?',,b'lived',b'yes'
b'yes',b'adult',38.2,64,28,b'normal',b'normal',b'normal pink',b'<3',b'intermittent mild pain',b'hypermotile',b'?',b'?',b'?',,b'absent',b'distended small intestine',49,8.6,b'cloudy',6.6,b'lived',b'yes'
b'yes',b'adult',,100,30,b'cool',b'reduced',b'pale cyanotic',b'>=3',b'continuous severe pain',b'absent',b'severe',b'significant',b'<1l',,b'absent',b'distended small intestine',52,6.6,b'?',,b'lived',b'yes'
b'no',b'adult',,104,24,b'cold',b'reduced',b'pale pink',b'>=3',b'intermittent severe pain',b'absent',b'moderate',b'?',b'<1l',,b'?',b'other',73,8.4,b'?',,b'euthanized',b'yes'
b'no',b'adult',38.3,112,16,b'?',b'reduced',b'bright red',b'>=3',b'?',b'?',b'none',b'none',b'>1l',,b'?',b'distended large intestine',51,6,b'cloudy',1,b'euthanized',b'no'
b'yes',b'adult',37.8,72,,b'?',b'reduced',b'?',b'<3',b'continuous severe pain',b'hypomotile',b'none',b'?',b'none',,b'normal',b'normal',56,80,b'clear',2,b'lived',b'yes'
b'no',b'adult',38.6,52,,b'normal',b'normal',b'normal pink',b'<3',b'intermittent mild pain',b'hypomotile',b'slight',b'none',b'none',,b'normal',b'firm feces in large intestine',32,6.6,b'clear',5,b'lived',b'no'
b'yes',b'young',39.2,146,96,b'?',b'?',b'?',b'?',b'?',b'?',b'?',b'?',b'?',,b'?',b'?',,,b'?',,b'died',b'yes'
b'yes',b'adult',,88,,b'cool',b'reduced',b'dark cyanotic',b'>=3',b'continuous severe pain',b'hypomotile',b'moderate',b'none',b'<1l',,b'absent',b'distended large intestine',63,6.5,b'serosanguinous',,b'died',b'yes'
b'no',b'young',39,150,72,b'?',b'?',b'?',b'?',b'?',b'?',b'?',b'?',b'?',,b'?',b'?',47,8.5,b'?',0.1,b'lived',b'yes'
b'no',b'adult',38,60,12,b'cool',b'normal',b'pale pink',b'<3',b'intermittent mild pain',b'hypomotile',b'none',b'none',b'none',,b'increased',b'other',47,7,b'?',,b'lived',b'no'
b'yes',b'adult',,120,,b'cool',b'absent',b'pale cyanotic',b'<3',b'intermittent severe pain',b'absent',b'severe',b'none',b'none',,b'?',b'distended large intestine',52,67,b'cloudy',2,b'euthanized',b'yes'
b'yes',b'adult',35.4,140,24,b'cool',b'reduced',b'pale cyanotic',b'>=3',b'intermittent severe pain',b'absent',b'?',b'slight',b'none',,b'?',b'distended large intestine',57,69,b'serosanguinous',2,b'euthanized',b'yes'
b'no',b'adult',,120,,b'cold',b'reduced',b'pale cyanotic',b'>=3',b'continuous severe pain',b'absent',b'severe',b'none',b'none',,b'absent',b'distended large intestine',60,6.5,b'serosanguinous',,b'died',b'yes'
b'yes',b'adult',37.9,60,15,b'cool',b'?',b'pale cyanotic',b'>=3',b'continuous severe pain',b'absent',b'severe',b'slight',b'>1l',,b'absent',b'distended large intestine',65,7.5,b'?',,b'lived',b'yes'
b'no',b'adult',37.5,48,16,b'normal',b'normal',b'normal pink',b'<3',b'alert no pain',b'hypermotile',b'none',b'none',b'none',,b'normal',b'?',37,6.5,b'?',,b'lived',b'no'
b'yes',b'adult',38.9,80,44,b'cool',b'reduced',b'pale pink',b'>=3',b'depressed',b'hypomotile',b'moderate',b'slight',b'>1l',7,b'decreased',b'normal',54,6.5,b'serosanguinous',,b'died',b'yes'
b'no',b'adult',37.2,84,48,b'cool',b'reduced',b'bright red',b'>=3',b'intermittent severe pain',b'hypermotile',b'slight',b'none',b'>1l',,b'increased',b'normal',73,5.5,b'cloudy',4.1,b'died',b'no'
b'no',b'adult',38.6,46,,b'normal',b'normal',b'bright pink',b'<3',b'alert no pain',b'hypomotile',b'slight',b'none',b'none',,b'?',b'other',49,9.1,b'clear',1.6,b'lived',b'no'
b'yes',b'adult',37.4,84,36,b'normal',b'?',b'pale pink',b'>=3',b'intermittent mild pain',b'hypomotile',b'slight',b'?',b'?',,b'absent',b'distended large intestine',,,b'serosanguinous',,b'died',b'yes'
b'no',b'adult',,,,b'normal',b'normal',b'pale pink',b'<3',b'alert no pain',b'hypomotile',b'none',b'?',b'?',,b'increased',b'other',43,7.7,b'?',,b'lived',b'no'
b'no',b'adult',38.6,40,20,b'?',b'?',b'?',b'<3',b'?',b'?',b'?',b'?',b'?',,b'?',b'?',41,6.4,b'?',,b'lived',b'no'
b'no',b'adult',40.3,114,36,b'cool',b'reduced',b'normal pink',b'>=3',b'depressed',b'hypomotile',b'moderate',b'slight',b'none',7,b'normal',b'distended large intestine',57,8.1,b'serosanguinous',4.5,b'euthanized',b'yes'
b'yes',b'young',38.6,160,20,b'cool',b'?',b'bright red',b'<3',b'intermittent mild pain',b'hypomotile',b'severe',b'significant',b'?',,b'absent',b'?',38,,b'cloudy',,b'died',b'yes'
b'yes',b'adult',,,,b'?',b'?',b'?',b'?',b'?',b'?',b'?',b'?',b'?',,b'?',b'?',24,6.7,b'?',,b'lived',b'yes'
